Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Age,Gender,Region,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD10000,2025-05-10,2025-05-16,C1626,Customer_706,HOME OFFICE,30,MALE,NORTH,CHENNAI,TECHNOLOGY,BINDERS,Product_297,44207.3,8,0.1,-908.48
ORD10001,2025-12-31,2026-01-06,C1049,Customer_608,CORPORATE,45,MALE,SOUTH,MUMBAI,TECHNOLOGY,BOOKCASES,Product_240,29996.27,4,0.05,3508.76
ORD10002,2025-11-10,2025-11-14,C1281,Customer_192,CONSUMER,29,FEMALE,EAST,PATNA,FURNITURE,BOOKCASES,Product_17,48810.0,4,0.15,7767.1
ORD10003,2023-05-02,2023-05-05,C1305,Customer_6,CORPORATE,28,FEMALE,EAST,NEW DELHI,OFFICE SUPPLIES,STORAGE,Product_69,21898.89,1,0.05,4375.73
ORD10004,2024-04-11,2024-04-17,C1443,Customer_924,CONSUMER,41,MALE,EAST,NEW DELHI,OFFICE SUPPLIES,STORAGE,Product_144,5783.47,3,0.1,-1116.07
ORD10005,2023-11-27,2023-12-01,C1028,Customer_121,CONSUMER,41,FEMALE,SOUTH,PATNA,FURNITURE,BOOKCASES,Product_31,3893.96,3,0.05,272.37
ORD10006,2023-03-29,2023-03-31,C1944,Customer_781,HOME OFFICE,35,MALE,EAST,BANGALORE,TECHNOLOGY,LAPTOPS,Product_6,44421.45,6,0.15,-1670.08
ORD10007,2025-05-21,2025-05-27,C1786,Customer_585,CONSUMER,24,FEMALE,SOUTH,CHENNAI,FURNITURE,CHAIRS,Product_134,14199.0,3,0.15,-970.36
ORD10008,2023-05-11,2023-05-13,C1265,Customer_7,CONSUMER,40,FEMALE,EAST,MUMBAI,OFFICE SUPPLIES,PAPER,Product_228,17175.04,8,0.0,6601.58
ORD10009,2025-02-08,2025-02-13,C1026,Customer_452,CONSUMER,40,FEMALE,WEST,MUMBAI,FURNITURE,TABLES,Product_133,33628.3,3,0.15,5829.36
ORD10010,2023-12-10,2023-12-13,C1738,Customer_811,CONSUMER,59,MALE,NORTH,BANGALORE,TECHNOLOGY,PHONES,Product_109,36801.79,7,0.0,-73.35
ORD10011,2025-03-16,2025-03-17,C1413,Customer_414,CONSUMER,59,MALE,SOUTH,CHENNAI,FURNITURE,BOOKCASES,Product_214,37620.91,1,0.1,8017.93
ORD10012,2024-01-21,2024-01-24,C1793,Customer_576,CORPORATE,60,FEMALE,EAST,NEW DELHI,TECHNOLOGY,PHONES,Product_295,17024.07,1,0.2,2151.49
ORD10013,2025-08-13,2025-08-19,C1064,Customer_206,CORPORATE,38,FEMALE,SOUTH,CHENNAI,TECHNOLOGY,PHONES,Product_54,16224.17,5,0.2,9672.03
ORD10014,2023-10-04,2023-10-10,C1038,Customer_157,CONSUMER,62,MALE,SOUTH,CHENNAI,FURNITURE,CHAIRS,Product_161,13975.48,6,0.15,6041.29
ORD10015,2024-04-04,2024-04-07,C1475,Customer_766,CONSUMER,40,MALE,WEST,NEW DELHI,OFFICE SUPPLIES,BINDERS,Product_115,5085.5,5,0.2,4555.58
ORD10016,2023-01-22,2023-01-25,C1009,Customer_811,CORPORATE,21,FEMALE,NORTH,NEW DELHI,OFFICE SUPPLIES,PAPER,Product_44,29614.91,4,0.1,5342.02
ORD10017,2023-09-10,2023-09-15,C1136,Customer_890,CONSUMER,25,MALE,EAST,CHENNAI,TECHNOLOGY,PHONES,Product_18,44518.63,5,0.1,151.63
ORD10018,2025-01-17,2025-01-19,C1558,Customer_48,HOME OFFICE,24,MALE,EAST,PATNA,OFFICE SUPPLIES,STORAGE,Product_232,11406.02,5,0.0,1005.84
ORD10019,2025-05-06,2025-05-07,C1728,Customer_446,CONSUMER,27,FEMALE,EAST,MUMBAI,OFFICE SUPPLIES,PAPER,Product_56,2491.92,6,0.1,354.31
ORD10020,2024-04-19,2024-04-22,C1729,Customer_231,HOME OFFICE,25,MALE,SOUTH,PATNA,FURNITURE,CHAIRS,Product_137,46519.48,8,0.05,4941.37
ORD10021,2025-12-18,2025-12-19,C1797,Customer_36,CONSUMER,38,FEMALE,SOUTH,PATNA,TECHNOLOGY,LAPTOPS,Product_30,37819.86,9,0.1,6560.57
ORD10022,2024-05-25,2024-05-28,C1273,Customer_758,HOME OFFICE,59,MALE,SOUTH,NEW DELHI,FURNITURE,BOOKCASES,Product_102,5635.63,3,0.2,3261.63
ORD10023,2024-11-30,2024-12-02,C1976,Customer_870,CONSUMER,28,MALE,WEST,NEW DELHI,TECHNOLOGY,LAPTOPS,Product_299,18223.72,8,0.1,5032.8
ORD10024,2025-09-02,2025-09-03,C1591,Customer_15,HOME OFFICE,36,MALE,NORTH,PATNA,FURNITURE,TABLES,Product_216,15314.01,3,0.0,4407.46
ORD10025,2023-07-09,2023-07-13,C1464,Customer_75,CORPORATE,23,MALE,EAST,NEW DELHI,FURNITURE,CHAIRS,Product_40,39450.08,7,0.0,273.94
ORD10026,2025-08-15,2025-08-17,C1946,Customer_123,CONSUMER,21,MALE,WEST,BANGALORE,TECHNOLOGY,PHONES,Product_7,22671.07,1,0.1,-845.07
ORD10027,2024-11-17,2024-11-18,C1183,Customer_697,CONSUMER,53,MALE,WEST,MUMBAI,FURNITURE,CHAIRS,Product_14,45594.19,5,0.05,3273.9
ORD10028,2025-08-15,2025-08-18,C1782,Customer_168,CONSUMER,62,FEMALE,WEST,BANGALORE,TECHNOLOGY,PHONES,Product_233,20503.75,1,0.0,8951.55
ORD10029,2024-07-16,2024-07-19,C1688,Customer_272,HOME OFFICE,26,MALE,SOUTH,NEW DELHI,FURNITURE,BOOKCASES,Product_263,47059.99,9,0.05,6425.23
ORD10030,2025-04-11,2025-04-13,C1437,Customer_853,CORPORATE,45,FEMALE,SOUTH,MUMBAI,FURNITURE,TABLES,Product_151,43044.29,6,0.2,7769.16
ORD10031,2024-10-08,2024-10-10,C1118,Customer_889,CORPORATE,35,MALE,NORTH,BANGALORE,FURNITURE,TABLES,Product_262,1141.61,1,0.05,4025.08
ORD10032,2023-01-21,2023-01-24,C1314,Customer_983,CONSUMER,44,FEMALE,SOUTH,PATNA,OFFICE SUPPLIES,PAPER,Product_201,48472.51,7,0.15,6306.71
ORD10033,2025-04-20,2025-04-21,C1686,Customer_87,CORPORATE,38,MALE,WEST,NEW DELHI,TECHNOLOGY,ACCESSORIES,Product_13,40268.69,8,0.15,2392.01
ORD10034,2023-06-16,2023-06-20,C1060,Customer_386,CONSUMER,48,MALE,NORTH,MUMBAI,OFFICE SUPPLIES,PAPER,Product_191,47852.02,7,0.15,5558.13
ORD10035,2024-01-23,2024-01-28,C1350,Customer_601,HOME OFFICE,49,MALE,SOUTH,NEW DELHI,FURNITURE,CHAIRS,Product_59,2466.59,1,0.15,3545.16
ORD10036,2024-08-23,2024-08-25,C1558,Customer_474,CORPORATE,48,FEMALE,EAST,BANGALORE,FURNITURE,BOOKCASES,Product_3,8635.74,7,0.0,6761.36
ORD10037,2023-11-12,2023-11-15,C1140,Customer_477,CORPORATE,34,MALE,SOUTH,CHENNAI,TECHNOLOGY,LAPTOPS,Product_123,48418.54,4,0.15,1211.08
ORD10038,2023-01-14,2023-01-15,C1984,Customer_335,CONSUMER,31,FEMALE,EAST,PATNA,OFFICE SUPPLIES,BINDERS,Product_198,21512.57,6,0.15,3755.69
ORD10039,2023-08-30,2023-09-01,C1028,Customer_463,CONSUMER,38,FEMALE,NORTH,BANGALORE,OFFICE SUPPLIES,STORAGE,Product_216,18145.67,6,0.2,9798.62
